"No.","Time","Source","Destination","Protocol","Length","Info"
"65","10.786804552","192.168.56.101","192.168.56.102","TCP","60","8080  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"66","10.786958212","192.168.56.101","192.168.56.102","TCP","60","995  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"67","10.787530467","192.168.56.101","192.168.56.102","TCP","60","5900  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"68","10.787530746","192.168.56.101","192.168.56.102","TCP","60","111  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"69","10.787642656","192.168.56.102","192.168.56.101","TCP","54","55479  >  5900 [RST] Seq=1 Win=0 Len=0"
"70","10.787742016","192.168.56.102","192.168.56.101","TCP","54","55479  >  111 [RST] Seq=1 Win=0 Len=0"
"71","10.787957173","192.168.56.101","192.168.56.102","TCP","60","993  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"72","10.787957381","192.168.56.101","192.168.56.102","TCP","60","143  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"73","10.788573868","192.168.56.101","192.168.56.102","TCP","60","113  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"74","10.788573965","192.168.56.101","192.168.56.102","TCP","60","22  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"75","10.788605241","192.168.56.102","192.168.56.101","TCP","54","55479  >  22 [RST] Seq=1 Win=0 Len=0"
"76","10.788912394","192.168.56.101","192.168.56.102","TCP","60","2049  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"77","10.788981656","192.168.56.102","192.168.56.101","TCP","54","55479  >  2049 [RST] Seq=1 Win=0 Len=0"
"78","10.789525106","192.168.56.101","192.168.56.102","TCP","60","2366  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"79","10.789680106","192.168.56.102","192.168.56.101","TCP","58","55479  >  5730 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"80","10.789721934","192.168.56.102","192.168.56.101","TCP","58","55479  >  35500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"81","10.789768902","192.168.56.102","192.168.56.101","TCP","58","55479  >  5903 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"82","10.789794807","192.168.56.102","192.168.56.101","TCP","58","55479  >  3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"83","10.789830588","192.168.56.102","192.168.56.101","TCP","58","55479  >  1051 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"84","10.789854779","192.168.56.102","192.168.56.101","TCP","58","55479  >  2035 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"85","10.789886660","192.168.56.102","192.168.56.101","TCP","58","55479  >  1186 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"86","10.789931129","192.168.56.102","192.168.56.101","TCP","58","55479  >  24800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"87","10.790265638","192.168.56.102","192.168.56.101","TCP","58","55479  >  32783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"88","10.790303359","192.168.56.102","192.168.56.101","TCP","58","55479  >  20828 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"89","10.790354522","192.168.56.102","192.168.56.101","TCP","58","55479  >  32771 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"90","10.790381933","192.168.56.102","192.168.56.101","TCP","58","55479  >  62078 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"91","10.790515297","192.168.56.102","192.168.56.101","TCP","58","55479  >  9099 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"92","10.790546814","192.168.56.102","192.168.56.101","TCP","58","55479  >  2144 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"93","10.790582273","192.168.56.102","192.168.56.101","TCP","58","55479  >  3971 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"94","10.790607146","192.168.56.102","192.168.56.101","TCP","58","55479  >  1048 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"95","10.790639122","192.168.56.102","192.168.56.101","TCP","58","55479  >  34571 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"96","10.790663831","192.168.56.102","192.168.56.101","TCP","58","55479  >  524 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"97","10.790695050","192.168.56.102","192.168.56.101","TCP","58","55479  >  4550 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"98","10.790718748","192.168.56.102","192.168.56.101","TCP","58","55479  >  7002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"99","10.790751672","192.168.56.102","192.168.56.101","TCP","58","55479  >  5678 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"100","10.790776453","192.168.56.102","192.168.56.101","TCP","58","55479  >  1688 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"101","10.790807444","192.168.56.102","192.168.56.101","TCP","58","55479  >  1049 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"102","10.790832607","192.168.56.102","192.168.56.101","TCP","58","55479  >  17877 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"103","10.790863327","192.168.56.102","192.168.56.101","TCP","58","55479  >  3527 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"104","10.790887937","192.168.56.102","192.168.56.101","TCP","58","55479  >  1038 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"105","10.790927379","192.168.56.102","192.168.56.101","TCP","58","55479  >  79 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"106","10.790971077","192.168.56.101","192.168.56.102","TCP","60","5730  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
